sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-00,landsat,2022,2025,W2022,1.0255489850832835,-0.11862769247322524,18434,39
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-00,landsat,2023,2025,W2023,0.9598886930604591,-0.07551950952308939,19433,39
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-00,landsat,2024,2025,W2024,0.8912222639601058,-0.0549407355732392,20103,39
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,0.9921423922874258,-0.09711639164753849,37867,39
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,0.9207354061488008,-0.06240733848904634,39536,39
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,0.944690974848367,-0.0749711258103194,57970,39
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-01,landsat,2022,2025,W2022,0.06872239460370583,-0.0036243861597466086,18658,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-01,landsat,2023,2025,W2023,0.09507975213881209,-0.004919494844733405,19829,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-01,landsat,2024,2025,W2024,0.09104455177353515,-0.004688808995308884,18783,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,0.08149230768159851,-0.004255522705834942,38487,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,0.09317592320634892,-0.004810283427934388,38612,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,0.08425795908112467,-0.004379343978060691,57270,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-02,landsat,2022,2025,W2022,0.9712864763437582,-0.08364585056401108,14809,37
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.0203446225514239,-0.10943322255160293,2063,14
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-02,landsat,2024,2025,W2024,0.9473216201217616,-0.08029811640461093,942,22
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9889858610669104,-0.09376947239770994,8524,14
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,0.9661224313846517,-0.08793661010802523,1860,9
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9600720931215544,-0.08948575591172697,4868,9
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.8731678878294199,-0.07621485912494566,16077,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.8967602776092882,-0.06740758869370508,7359,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.877594089572746,-0.07042963233900812,15093,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.8841593918403595,-0.07428343258726253,23436,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.8831708433669125,-0.0693104807022985,22452,35
landsat_sr_qa_aerosol,exclude_high_aerosol,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.882167069737972,-0.07294025499587792,38529,35
