sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,0.9158355449717505,-0.044796475636209476,18434,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,0.8526606567240405,0.002201355557090001,19433,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,0.8211354109508957,-0.0006295839586103469,20103,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,0.8866576043746707,-0.023050437208930297,37867,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,0.8344816018502442,0.0020907609054342524,39536,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,0.8576390998000678,-0.011557256676478445,57970,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,0.09116733603872294,-0.004852788540475537,18658,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,0.10962570916316015,-0.005691824312833019,19829,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,0.1031604928630545,-0.005325582925311231,18783,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,0.09992009909002054,-0.00524971009514417,38487,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,0.106652205480087,-0.005522524996154356,38612,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,0.1006938702682079,-0.0052595749593528805,57270,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,0.9764365859457226,-0.07834838352575957,14809,37
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.025451194345771,-0.0946535673654939,2063,14
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,0.9896951459874416,-0.08757878811920744,942,22
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9878988689109017,-0.0817131998584707,8524,14
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,0.9659297096603686,-0.07003633008800947,1860,9
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9591490766282507,-0.07257725790776365,4868,9
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.880900800825623,-0.07728625694760824,16077,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.9264541518369456,-0.07181074217469124,7359,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.8868317790840167,-0.07201503582306348,15093,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.8998649236838099,-0.07664886176068933,23436,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.8987861418771623,-0.07181002529472022,22452,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.894985007631139,-0.07493826089118172,38529,35
